Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10
gx7s7uF;barbell incline close grip bench press;Press de banca inclinado con barra y agarre cerrado;triceps;upper arms;barbell;https://static.exercisedb.dev/media/gx7s7uF.gif;Step:1 Set up an incline bench at a 45-degree angle. | Step:2 Lie down on the bench with your feet flat on the ground. | Step:3 Grasp the barbell with a close grip, slightly narrower than shoulder-width apart. | Step:4 Unrack the barbell and lower it slowly towards your chest, keeping your elbows close to your body. | Step:5 Pause for a moment when the barbell touches your chest. | Step:6 Push the barbell back up to the starting position, fully extending your arms. | Step:7 Repeat for the desired number of repetitions.;"Step:1 Ajusta un banco inclinado a 45 grados.
Step:2 Túmbate en el banco con los pies apoyados en el suelo.
Step:3 Sujeta la barra con un agarre estrecho, un poco más cerrado que la anchura de tus hombros.
Step:4 Saca la barra del soporte y bájala lentamente hacia tu pecho, manteniendo los codos pegados al cuerpo.
Step:5 Haz una pausa un momento cuando la barra roce el pecho.
Step:6 Empuja la barra hacia arriba hasta la posición inicial, extendiendo los brazos por completo.
Step:7 Repite el movimiento durante el número de repeticiones deseado.";chest, shoulders
x0lwvfq;dumbbell seated bent over alternate kickback;Patada de tríceps sentada alterna con mancuernas;triceps;upper arms;dumbbell;https://static.exercisedb.dev/media/x0lwvfq.gif;Step:1 Sit on a bench with a dumbbell in each hand, palms facing inwards. | Step:2 Bend forward at the waist, keeping your back straight and parallel to the ground. | Step:3 Extend one arm straight back, keeping it close to your body, until your arm is fully extended. | Step:4 Pause for a moment, then slowly lower the dumbbell back to the starting position. | Step:5 Repeat with the other arm. | Step:6 Continue alternating arms for the desired number of repetitions.;"Step:1 Siéntate en un banco con una mancuerna en cada mano y las palmas enfrentadas.
Step:2 Inclina el torso hacia adelante desde la cintura, con la espalda recta y casi paralela al suelo.
Step:3 Extiende un brazo totalmente hacia atrás, manteniéndolo pegado al cuerpo, hasta que el brazo esté estirado.
Step:4 Haz una pausa un momento arriba y baja la mancuerna lentamente a la posición inicial.
Step:5 Repite con el otro brazo.
Step:6 Continúa alternando brazos durante el número de repeticiones deseado.";shoulders, back
BRImeP8;lever seated dip;Fondos sentados en máquina de palanca;triceps;upper arms;leverage machine;https://static.exercisedb.dev/media/BRImeP8.gif;Step:1 Adjust the seat height so that your feet are flat on the ground and your knees are at a 90-degree angle. | Step:2 Grasp the handles of the leverage machine with your palms facing down and your arms fully extended. | Step:3 Slowly lower your body by bending your elbows until your upper arms are parallel to the ground. | Step:4 Pause for a moment, then push yourself back up to the starting position by straightening your arms. | Step:5 Repeat for the desired number of repetitions.;"Step:1 Ajusta la altura del asiento para que tus pies apoyen en el suelo y tus rodillas formen un ángulo de 90 grados.
Step:2 Sujeta las manijas de la máquina con las palmas hacia abajo y los brazos extendidos.
Step:3 Baja lentamente el peso flexionando los codos hasta que los brazos estén paralelos al suelo.
Step:4 Haz una pausa un momento y empuja para volver a la posición inicial estirando los brazos.
Step:5 Repite el movimiento durante el número de repeticiones deseado.";chest, shoulders
8eqjhOl;dumbbell palms in incline bench press;Press de banca inclinado con mancuernas (palmas enfrentadas);triceps;upper arms;dumbbell;https://static.exercisedb.dev/media/8eqjhOl.gif;Step:1 Set up an incline bench at a 45-degree angle. | Step:2 Sit on the bench with your back against the backrest and feet flat on the ground. | Step:3 Hold a dumbbell in each hand with an overhand grip, palms facing inwards. | Step:4 Extend your arms straight up above your chest, keeping a slight bend in your elbows. | Step:5 Lower the dumbbells slowly towards your shoulders, keeping your elbows close to your body. | Step:6 Pause for a moment at the bottom, then press the dumbbells back up to the starting position. | Step:7 Repeat for the desired number of repetitions.;"Step:1 Ajusta un banco inclinado a 45 grados.
Step:2 Siéntate en el banco con la espalda apoyada y los pies firmes en el suelo.
Step:3 Sujeta una mancuerna en cada mano con agarre neutro (palmas enfrentadas).
Step:4 Extiende los brazos sobre el pecho con una ligera flexión en los codos.
Step:5 Baja las mancuernas lentamente hacia tus hombros, manteniendo los codos pegados a los costados.
Step:6 Haz una pausa abajo y presiona las mancuernas hacia arriba hasta la posición inicial.
Step:7 Repite el movimiento durante el número de repeticiones deseado.";chest, shoulders
NZ5Qqkz;reverse dip;Fondos en paralelas;triceps;upper arms;body weight;https://static.exercisedb.dev/media/NZ5Qqkz.gif;Step:1 Position yourself between two parallel bars with your arms fully extended and your body straight. | Step:2 Lower your body by bending your elbows until your upper arms are parallel to the ground. | Step:3 Pause for a moment, then push yourself back up to the starting position by straightening your arms. | Step:4 Repeat for the desired number of repetitions.;"Step:1 Colócate entre dos barras paralelas con los brazos extendidos y el cuerpo recto.
Step:2 Baja el cuerpo flexionando los codos hasta que los brazos estén paralelos al suelo.
Step:3 Haz una pausa abajo y empuja con fuerza para volver arriba estirando los brazos por completo.
Step:4 Repite el movimiento durante el número de repeticiones deseado.";chest, shoulders
5fKX7wi;dumbbell seated reverse grip one arm overhead tricep extension;Extensión tras nuca a una mano sentado con mancuerna (agarre supino);triceps;upper arms;dumbbell;https://static.exercisedb.dev/media/5fKX7wi.gif;Step:1 Sit on a bench with your back straight and feet flat on the ground. | Step:2 Hold a dumbbell with an underhand grip and extend your arm straight up overhead. | Step:3 Lower the dumbbell behind your head by bending your elbow, keeping your upper arm stationary. | Step:4 Pause for a moment, then extend your arm back up to the starting position. | Step:5 Repeat for the desired number of repetitions, then switch arms.;"Step:1 Siéntate en un banco con la espalda recta y los pies apoyados.
Step:2 Sujeta una mancuerna con agarre supino (palma hacia arriba) y extiende el brazo sobre la cabeza.
Step:3 Baja la mancuerna por detrás de la cabeza flexionando el codo y manteniendo el brazo quieto.
Step:4 Haz una pausa abajo y extiende el brazo de nuevo a la posición inicial.
Step:5 Repite las veces necesarias y cambia de brazo.";shoulders
X6C6i5Y;triceps dip;Fondos de tríceps (en banco);triceps;upper arms;body weight;https://static.exercisedb.dev/media/X6C6i5Y.gif;Step:1 Sit on the edge of a bench or chair with your hands gripping the edge, fingers pointing forward. | Step:2 Slide your butt off the bench, supporting your weight with your hands. | Step:3 Bend your elbows and lower your body towards the ground, keeping your back close to the bench. | Step:4 Pause for a moment at the bottom, then push yourself back up to the starting position. | Step:5 Repeat for the desired number of repetitions.;"Step:1 Siéntate en el borde de un banco o silla con las manos sujetando el borde y los dedos hacia adelante.
Step:2 Desliza el glúteo fuera del banco, apoyando tu peso en las manos.
Step:3 Flexiona los codos y baja el cuerpo hacia el suelo, manteniendo la espalda pegada al banco.
Step:4 Haz una pausa abajo y empuja para volver a subir a la posición inicial.
Step:5 Repite el movimiento durante el número de repeticiones deseado.";chest, shoulders
DgZQ11d;ez barbell decline close grip face press;Press francés declinado con barra EZ (hacia la cara);triceps;upper arms;ez barbell;https://static.exercisedb.dev/media/DgZQ11d.gif;Step:1 Lie on a decline bench with your head lower than your feet. | Step:2 Grasp the ez barbell with a close grip, palms facing each other. | Step:3 Extend your arms straight up above your chest, keeping your elbows close to your body. | Step:4 Lower the barbell towards your forehead by bending your elbows. | Step:5 Pause for a moment, then press the barbell back up to the starting position. | Step:6 Repeat for the desired number of repetitions.;"Step:1 Túmbate en un banco declinado con la cabeza más baja que los pies.
Step:2 Sujeta la barra EZ con agarre estrecho y las palmas enfrentadas (o ligeramente supinas).
Step:3 Extiende los brazos sobre el pecho, manteniendo los codos cerrados.
Step:4 Baja la barra hacia tu frente flexionando los codos con control.
Step:5 Haz una pausa un momento y empuja la barra de nuevo hacia arriba.
Step:6 Repite el movimiento durante el número de repeticiones deseado.";chest, shoulders
6MfS53i;dumbbell lying single extension;Extensión de tríceps a una mano tumbado con mancuerna;triceps;upper arms;dumbbell;https://static.exercisedb.dev/media/6MfS53i.gif;Step:1 Lie flat on a bench with a dumbbell in one hand and your arm fully extended above your chest. | Step:2 Lower the dumbbell in a controlled manner towards your forehead, keeping your upper arm stationary. | Step:3 Pause briefly at the bottom of the movement, then extend your arm back to the starting position. | Step:4 Repeat for the desired number of repetitions, then switch arms.;"Step:1 Túmbate en un banco con una mancuerna en una mano y el brazo extendido sobre el pecho.
Step:2 Baja la mancuerna de forma controlada hacia tu frente, manteniendo el brazo quieto.
Step:3 Haz una breve pausa abajo y extiende el brazo de nuevo a la posición inicial.
Step:4 Repite las veces necesarias y cambia de brazo.";shoulders
LL1UiTX;dumbbell incline one arm hammer press;Press de martillo inclinado a una mano con mancuerna;triceps;upper arms;dumbbell;https://static.exercisedb.dev/media/LL1UiTX.gif;Step:1 Sit on an incline bench with a dumbbell in one hand, resting on your thigh. | Step:2 Lean back on the bench and use your thigh to help raise the dumbbell to shoulder height. | Step:3 Rotate your wrist so that your palm is facing inward, towards your body. | Step:4 Press the dumbbell up and away from your body, extending your arm fully. | Step:5 Pause for a moment at the top, then slowly lower the dumbbell back down to the starting position. | Step:6 Repeat for the desired number of repetitions, then switch arms.;"Step:1 Siéntate en un banco inclinado con una mancuerna en la mano apoyada en el muslo.
Step:2 Recuéstate y ayúdate del muslo para elevar la mancuerna hasta la altura del hombro.
Step:3 Gira la muñeca para que la palma mire hacia adentro (agarre neutro).
Step:4 Empuja la mancuerna hacia arriba estirando el brazo por completo.
Step:5 Haz una pausa arriba y baja lentamente la mancuerna a la posición inicial.
Step:6 Repite las veces necesarias y cambia de brazo.";shoulders, chest
bQy2Eni;dumbbell one arm kickback;Patada de tríceps a una mano con mancuerna;triceps;upper arms;dumbbell;https://static.exercisedb.dev/media/bQy2Eni.gif;Step:1 Stand with your feet shoulder-width apart and hold a dumbbell in your right hand. | Step:2 Bend your knees slightly and hinge forward at the hips, keeping your back straight. | Step:3 Bring your right elbow up to your side, keeping it bent at a 90-degree angle. | Step:4 Extend your right arm straight back, squeezing your triceps at the top of the movement. | Step:5 Slowly lower the dumbbell back to the starting position. | Step:6 Repeat for the desired number of repetitions, then switch sides.;"Step:1 Ponte de pie con los pies a la anchura de los hombros y sujeta una mancuerna con la mano derecha.
Step:2 Flexiona algo las rodillas e inclina el torso hacia adelante desde la cadera con la espalda recta.
Step:3 Eleva el codo derecho hacia el costado, manteniéndolo flexionado a 90 grados.
Step:4 Extiende el brazo derecho hacia atrás por completo, apretando el tríceps arriba.
Step:5 Baja lentamente la mancuerna a la posición inicial con control.
Step:6 Repite las veces necesarias y cambia de lado.";shoulders
FQXdXzY;dumbbells seated triceps extension;Extensión tras nuca sentado con mancuerna (a dos manos);triceps;upper arms;dumbbell;https://static.exercisedb.dev/media/FQXdXzY.gif;Step:1 Sit on a bench with your back straight and feet flat on the ground. | Step:2 Hold a dumbbell in both hands with an overhand grip, and raise it above your head. | Step:3 Bend your elbows and lower the dumbbell behind your head, keeping your upper arms close to your ears. | Step:4 Extend your arms and raise the dumbbell back to the starting position. | Step:5 Repeat for the desired number of repetitions.;"Step:1 Siéntate en un banco con la espalda recta y los pies apoyados.
Step:2 Sujeta una mancuerna con ambas manos en agarre prono y elévala sobre tu cabeza.
Step:3 Flexiona los codos y baja la mancuerna por detrás de la cabeza, manteniendo los brazos cerca de las orejas.
Step:4 Estira los brazos para elevar la mancuerna de nuevo a la posición inicial.
Step:5 Repite el movimiento durante el número de repeticiones deseado.";shoulders
en550rk;dumbbell seated kickback;Patada de tríceps sentada con mancuernas;triceps;upper arms;dumbbell;https://static.exercisedb.dev/media/en550rk.gif;Step:1 Sit on a bench with your feet flat on the ground and hold a dumbbell in each hand. | Step:2 Bend your knees slightly and lean forward from your hips, keeping your back straight. | Step:3 Bring your upper arms close to your sides and keep your elbows bent at a 90-degree angle. | Step:4 Extend your arms straight back, squeezing your triceps at the top of the movement. | Step:5 Pause for a moment, then slowly lower the dumbbells back to the starting position. | Step:6 Repeat for the desired number of repetitions.;"Step:1 Siéntate en un banco con los pies apoyados y sujeta una mancuerna en cada mano.
Step:2 Flexiona ligeramente las rodillas e inclina el torso hacia adelante desde la cadera con la espalda recta.
Step:3 Mantén los brazos pegados a los costados con los codos flexionados a 90 grados.
Step:4 Extiende los brazos totalmente hacia atrás, apretando los tríceps arriba.
Step:5 Haz una pausa un momento y regresa lentamente las mancuernas a la posición inicial.
Step:6 Repite el movimiento durante el número de repeticiones deseado.";shoulders
Gm2Uv1z;exercise ball supine triceps extension;Extensión de tríceps sobre fitball (tumbado);triceps;upper arms;dumbbell;https://static.exercisedb.dev/media/Gm2Uv1z.gif;Step:1 Sit on an exercise ball with your feet flat on the ground and your knees bent at a 90-degree angle. | Step:2 Hold a dumbbell with both hands and extend your arms straight up towards the ceiling. | Step:3 Slowly lower the dumbbell behind your head, keeping your elbows close to your ears. | Step:4 Pause for a moment, then raise the dumbbell back up to the starting position. | Step:5 Repeat for the desired number of repetitions.;"Step:1 Siéntate en un fitball con los pies apoyados y deslízate hacia abajo hasta que la espalda alta apoye en la pelota.
Step:2 Sujeta una mancuerna con ambas manos y extiende los brazos hacia el techo.
Step:3 Baja lentamente la mancuerna por detrás de tu cabeza, manteniendo los codos cerrados.
Step:4 Haz una pausa y eleva la mancuerna de nuevo a la posición inicial.
Step:5 Repite el movimiento durante el número de repeticiones deseado.";shoulders
CFN9P8G;ez bar french press on exercise ball;Press francés sobre fitball con barra EZ;triceps;upper arms;ez barbell;https://static.exercisedb.dev/media/CFN9P8G.gif;Step:1 Sit on an exercise ball and hold an EZ barbell with an overhand grip. | Step:2 Extend your arms straight up, keeping your elbows close to your head. | Step:3 Slowly lower the barbell behind your head by bending your elbows. | Step:4 Pause for a moment, then extend your arms back up to the starting position. | Step:5 Repeat for the desired number of repetitions.;"Step:1 Siéntate en un fitball y sujeta la barra EZ con agarre prono. Desliza el cuerpo hasta apoyar la espalda alta en la pelota.
Step:2 Extiende los brazos hacia arriba, manteniendo los codos cerca de la cabeza.
Step:3 Baja lentamente la barra por detrás de la nuca flexionando los codos.
Step:4 Haz una pausa un momento y extiende los brazos a la posición inicial.
Step:5 Repite el movimiento durante el número de repeticiones deseado.";shoulders
SHUMp5H;dumbbell decline one arm hammer press;Press de martillo declinado a una mano con mancuerna;triceps;upper arms;dumbbell;https://static.exercisedb.dev/media/SHUMp5H.gif;Step:1 Lie on a decline bench with a dumbbell in one hand, resting on your chest. | Step:2 Extend your arm straight up, keeping your elbow slightly bent. | Step:3 Lower the dumbbell down towards your shoulder, keeping your elbow close to your body. | Step:4 Press the dumbbell back up to the starting position. | Step:5 Repeat for the desired number of repetitions, then switch arms.;"Step:1 Túmbate en un banco declinado con una mancuerna en la mano apoyada en el pecho.
Step:2 Extiende el brazo hacia arriba, manteniendo el codo con una mínima flexión.
Step:3 Baja la mancuerna hacia tu hombro, manteniendo el codo cerca del cuerpo.
Step:4 Presiona la mancuerna hacia arriba hasta volver a la posición inicial.
Step:5 Repite las veces necesarias y cambia de brazo.";chest, shoulders
c3QQLPi;cable rear drive;Extensión de tríceps en polea (tracción trasera);triceps;upper arms;cable;https://static.exercisedb.dev/media/c3QQLPi.gif;Step:1 Attach a handle to a low pulley cable machine and stand facing away from the machine. | Step:2 Grasp the handle with an overhand grip and extend your arms straight out in front of you. | Step:3 Keeping your elbows stationary, pull the handle back towards your body, squeezing your triceps at the end of the movement. | Step:4 Slowly return the handle to the starting position and repeat for the desired number of repetitions.;"Step:1 Conecta un agarre a la polea baja y ponte de espaldas a la máquina.
Step:2 Sujeta el agarre con un agarre prono y extiende los brazos rectos frente a ti.
Step:3 Manteniendo los codos quietos, tira del agarre hacia atrás (hacia tu cuerpo), apretando los tríceps al final del recorrido.
Step:4 Regresa lentamente a la posición inicial y repite el movimiento durante el número de repeticiones deseado.";shoulders, back
rQxwMxO;handstand push-up;Flexiones en vertical (Pino contra la pared);triceps;upper arms;body weight;https://static.exercisedb.dev/media/rQxwMxO.gif;Step:1 Find a wall and face away from it, standing a few feet away. | Step:2 Place your hands on the ground shoulder-width apart and kick your feet up against the wall, coming into a handstand position. | Step:3 Bend your elbows and lower your head towards the ground, keeping your body in a straight line. | Step:4 Push through your hands and extend your arms to return to the starting position. | Step:5 Repeat for the desired number of repetitions.;"Step:1 Busca una pared y colócate de espaldas a ella a unos pocos centímetros.
Step:2 Apoya las manos en el suelo a la anchura de los hombros y lanza los pies hacia arriba contra la pared hasta quedar en posición de pino.
Step:3 Flexiona los codos y baja la cabeza hacia el suelo con control, manteniendo el cuerpo recto y el core activado.
Step:4 Empuja con las palmas y extiende los brazos para volver a la posición inicial.
Step:5 Repite el movimiento durante el número de repeticiones deseado.";shoulders, chest, core
KWdF2JI;cable kneeling triceps extension;Extensión de tríceps en polea alta (arrodillado);triceps;upper arms;cable;https://static.exercisedb.dev/media/KWdF2JI.gif;Step:1 Attach a rope handle to a high pulley and kneel down facing the cable machine. | Step:2 Grasp the rope with a neutral grip (palms facing each other) and bring your hands to the sides of your head. | Step:3 Keep your elbows close to your head and your upper arms stationary throughout the exercise. | Step:4 Extend your forearms by contracting your triceps until your arms are fully extended. | Step:5 Pause for a moment, then slowly return to the starting position by bending your elbows. | Step:6 Repeat for the desired number of repetitions.;"Step:1 Conecta una cuerda a la polea alta y arrodíllate de cara a la máquina.
Step:2 Sujeta la cuerda con un agarre neutro (palmas enfrentadas) y lleva las manos a los lados de tu cabeza.
Step:3 Mantén los codos cerrados y los brazos (parte superior) quietos durante todo el ejercicio.
Step:4 Extiende los antebrazos contrayendo los tríceps hasta que los brazos queden totalmente estirados.
Step:5 Haz una pausa un momento y regresa lentamente a la posición inicial flexionando los codos.
Step:6 Repite el movimiento durante el número de repeticiones deseado.";shoulders
fSrPP6B;triceps press;Extensión de tríceps de pie (peso corporal inclinado);triceps;upper arms;body weight;https://static.exercisedb.dev/media/fSrPP6B.gif;Step:1 Stand with your feet shoulder-width apart and your knees slightly bent. | Step:2 Extend your arms straight out in front of you, parallel to the ground. | Step:3 Bend your elbows and lower your body towards the ground, keeping your upper arms close to your sides. | Step:4 Pause for a moment at the bottom, then push yourself back up to the starting position. | Step:5 Repeat for the desired number of repetitions.;"Step:1 Ponte de pie frente a una barra o superficie estable a la altura de la cintura, con los pies a la anchura de los hombros.
Step:2 Apoya las manos y extiende los brazos frente a ti, paralelos al suelo, inclinando el cuerpo hacia adelante.
Step:3 Flexiona los codos y baja el torso hacia la superficie, manteniendo los brazos pegados a los costados y el cuerpo recto.
Step:4 Haz una pausa abajo y empuja con fuerza para volver arriba extendiendo los codos.
Step:5 Repite el movimiento durante el número de repeticiones deseado.";shoulders
05Cf2v8;impossible dips;Impossible Dips (Fondos imposibles en paralelas);triceps;upper arms;body weight;https://static.exercisedb.dev/media/05Cf2v8.gif;Step:1 Position yourself between two parallel bars with your arms fully extended and your body suspended in the air. | Step:2 Bend your knees and cross your ankles. | Step:3 Lower your body by bending your elbows until your upper arms are parallel to the ground. | Step:4 Pause for a moment, then push yourself back up to the starting position by straightening your arms. | Step:5 Repeat for the desired number of repetitions.;"Step:1 Colócate entre dos barras paralelas con los brazos extendidos y el cuerpo suspendido.
Step:2 Flexiona las rodillas y cruza los tobillos si lo prefieres para mayor estabilidad.
Step:3 Baja el cuerpo flexionando los codos y llevándolos hacia atrás hasta que los antebrazos descansen sobre la barra.
Step:4 Haz una pausa un momento y empuja con fuerza para volver a la posición inicial estirando los brazos.
Step:5 Repite el movimiento durante el número de repeticiones deseado.";chest, shoulders
1TVoin7;barbell lying triceps extension double;Press francés con barra (doble movimiento);triceps;upper arms;barbell;https://static.exercisedb.dev/media/1TVoin7.gif;Step:1 Lie flat on a bench with your feet flat on the ground and your head at the end of the bench. | Step:2 Hold the barbell with an overhand grip, hands shoulder-width apart, and extend your arms straight up over your chest. | Step:3 Keeping your upper arms stationary, slowly lower the barbell towards your forehead by bending your elbows. Focus on double movement. | Step:4 Pause for a moment at the bottom, then extend your arms back up to the starting position. | Step:5 Repeat for the desired number of repetitions.;"Step:1 Túmbate en un banco plano con los pies apoyados y la cabeza al borde del banco.
Step:2 Sujeta la barra con un agarre prono a la anchura de los hombros y extiéndela sobre tu pecho.
Step:3 Manteniendo los brazos quietos, baja la barra lentamente hacia tu frente flexionando los codos. Realiza una pequeña pausa o re-ajuste para enfatizar la tensión (doble movimiento).
Step:4 Haz una pausa abajo y extiende los brazos de nuevo a la posición inicial.
Step:5 Repite el movimiento durante el número de repeticiones deseado.";shoulders
syUwUKY;rotated dumbbell pronate-grip triceps extension;Extensión de tríceps con mancuerna y rotación (agarre prono);triceps;upper arms;dumbbell;https://static.exercisedb.dev/media/syUwUKY.gif;Step:1 Sit on a bench or chair with your back straight and feet flat on the ground. | Step:2 Hold a dumbbell with both hands, palms facing down, and extend your arms straight up overhead. | Step:3 Keeping your upper arms close to your head and elbows pointing forward, slowly lower the dumbbell behind your head by bending your elbows. | Step:4 Pause for a moment, then extend your arms back up to the starting position. | Step:5 Repeat for the desired number of repetitions. Focus on rotated movement.;"Step:1 Siéntate en un banco con la espalda recta y los pies firmes en el suelo.
Step:2 Sujeta una mancuerna con ambas manos (palmas abajo) y elévala sobre tu cabeza.
Step:3 Mantén los brazos cerca de la cabeza y los codos hacia adelante; baja la mancuerna por detrás de la cabeza flexionando los codos.
Step:4 Haz una pausa y extiende los brazos de nuevo a la posición inicial, aplicando una ligera rotación al final.
Step:5 Repite el movimiento centrándote en el control del giro.";forearms
omsF3RN;dynamic style band side triceps extension;Extensión lateral de tríceps con banda (estilo dinámico);triceps;upper arms;band;https://static.exercisedb.dev/media/omsF3RN.gif;Step:1 Stand with your feet shoulder-width apart and hold the band with both hands, palms facing down. | Step:2 Extend your arms straight out to the sides, keeping them parallel to the ground. | Step:3 Slowly bend your elbows and bring your hands towards your shoulders, keeping your upper arms still. | Step:4 Pause for a moment, then slowly extend your arms back out to the starting position. | Step:5 (dynamic variation) Repeat for the desired number of repetitions.;"Step:1 Ponte de pie con los pies a la anchura de los hombros y sujeta la banda con ambas manos (palmas abajo).
Step:2 Extiende los brazos hacia los lados, paralelos al suelo.
Step:3 Flexiona los codos y lleva las manos hacia los hombros, manteniendo los brazos (parte superior) quietos.
Step:4 Haz una pausa y extiende los brazos de forma explosiva (fase dinámica) hacia la posición inicial.
Step:5 Repite el movimiento durante el número de repeticiones deseado.";shoulders
pNIKolI;exercise ball seated triceps stretch wide;Estiramiento de tríceps sentado en fitball (agarre ancho);triceps;upper arms;stability ball;https://static.exercisedb.dev/media/pNIKolI.gif;Step:1 Sit on a stability ball with your feet flat on the ground and your back straight. | Step:2 Hold a dumbbell in one hand and extend your arm straight up above your head. | Step:3 Bend your elbow and lower the dumbbell behind your head, keeping your upper arm close to your ear. Maintain wide form throughout. | Step:4 Hold the stretch for a few seconds, then return to the starting position. | Step:5 Repeat with the other arm.;"Step:1 Siéntate en una pelota de estabilidad (fitball) con los pies apoyados y la espalda recta.
Step:2 Sujeta una mancuerna con una mano y eleva el brazo sobre tu cabeza.
Step:3 Flexiona el codo y baja la mancuerna por detrás de la cabeza, manteniendo el brazo algo más abierto de lo habitual (forma ancha).
Step:4 Mantén el estiramiento unos segundos y regresa a la posición inicial.
Step:5 Repite el proceso con el otro brazo.";shoulders
jvEXp4N;endurance style one arm dip;Fondos a una mano (estilo resistencia);triceps;upper arms;body weight;https://static.exercisedb.dev/media/jvEXp4N.gif;Step:1 Stand facing away from a bench or chair, with your feet shoulder-width apart. | Step:2 Place one hand on the bench or chair behind you, fingers pointing towards your body. Maintain endurance form throughout. | Step:3 Extend your legs out in front of you, keeping your heels on the ground. | Step:4 Bend your elbows and lower your body towards the ground, keeping your back close to the bench or chair. | Step:5 Pause for a moment at the bottom, then push through your palms to straighten your arms and return to the starting position. | Step:6 Repeat for the desired number of repetitions, then switch sides and repeat with the other arm.;"Step:1 Ponte de espaldas a un banco o silla con los pies a la anchura de los hombros.
Step:2 Coloca una mano en el banco detrás de ti. Mantén una técnica constante para trabajar la resistencia muscular.
Step:3 Extiende las piernas frente a ti con los talones apoyados en el suelo.
Step:4 Flexiona el codo y baja el cuerpo hacia el suelo, manteniendo la espalda muy cerca del banco.
Step:5 Haz una pausa abajo y empuja con la palma para volver arriba.
Step:6 Repite para series largas y cambia de brazo.";chest, shoulders
9tvVVM9;flexible cable triceps pushdown (v-bar);Pushdown de tríceps en polea (intensidad adaptable);triceps;upper arms;cable;https://static.exercisedb.dev/media/9tvVVM9.gif;Step:1 Attach a v-bar attachment to the cable machine at the highest setting. | Step:2 Stand facing the cable machine with your feet shoulder-width apart. | Step:3 Grasp the v-bar with an overhand grip, palms facing down, and your hands shoulder-width apart. | Step:4 Keep your elbows close to your sides and your upper arms stationary throughout the exercise. | Step:5 Engage your triceps and exhale as you push the v-bar down until your arms are fully extended. Perform with flexible intensity. | Step:6 Pause for a moment at the bottom of the movement, squeezing your triceps. | Step:7 Inhale as you slowly return the v-bar to the starting position, maintaining control. | Step:8 Repeat for the desired number of repetitions.;"Step:1 Conecta la barra en V a la polea alta de la máquina.
Step:2 Ponte frente a la máquina con los pies a la anchura de los hombros.
Step:3 Sujeta la barra en V con agarre prono y las manos a la anchura de los hombros.
Step:4 Mantén los codos pegados a los costados durante todo el recorrido.
Step:5 Activa los tríceps y empuja la barra hacia abajo con una intensidad adaptable hasta estirar los brazos.
Step:6 Haz una pausa abajo apretando fuerte el músculo.
Step:7 Regresa lentamente a la posición inicial con control total.
Step:8 Repite el movimiento durante el número de repeticiones deseado.";forearms
w7obpWd;active style cable pushdown;Pushdown de tríceps en polea (estilo activo);triceps;upper arms;cable;https://static.exercisedb.dev/media/w7obpWd.gif;Step:1 Attach a straight bar to a high pulley cable machine. | Step:2 Stand facing the machine with your feet shoulder-width apart and a slight bend in your knees. | Step:3 Grasp the bar with an overhand grip, hands shoulder-width apart. | Step:4 Keep your elbows close to your sides and your upper arms stationary. | Step:5 Exhale and push the bar down until your elbows are fully extended. | Step:6 Pause for a moment, then inhale and slowly return the bar to the starting position. Maintain active form throughout. | Step:7 Repeat for the desired number of repetitions.;"Step:1 Conecta una barra recta a la polea alta de la máquina.
Step:2 Ponte frente a la máquina con los pies a la anchura de los hombros y ligera flexión de rodillas.
Step:3 Sujeta la barra con agarre prono a la anchura de los hombros.
Step:4 Mantén los codos bloqueados a los costados.
Step:5 Exhala y empuja la barra hacia abajo con un movimiento enérgico y rítmico (activo).
Step:6 Haz una pausa y regresa lentamente a la posición inicial manteniendo la tensión.
Step:7 Repite el movimiento durante el número de repeticiones deseado.";forearms
TBNaSNs;ez barbell decline close grip face press - mini variation;Press francés declinado con barra EZ (variación corta);triceps;upper arms;ez barbell;https://static.exercisedb.dev/media/TBNaSNs.gif;Step:1 Lie on a decline bench with your head lower than your feet. | Step:2 Grasp the ez barbell with a close grip, palms facing each other. | Step:3 Extend your arms straight up above your chest, keeping your elbows close to your body. | Step:4 Lower the barbell towards your forehead by bending your elbows. | Step:5 Pause for a moment, then press the barbell back up to the starting position. Emphasize mini control. | Step:6 Repeat for the desired number of repetitions.;"Step:1 Túmbate en un banco declinado con la cabeza más baja que los pies.
Step:2 Sujeta la barra EZ con agarre cerrado y palmas enfrentadas.
Step:3 Extiende los brazos sobre el pecho, manteniendo los codos cerrados.
Step:4 Baja la barra hacia tu frente flexionando los codos con un recorrido corto (mini) para mantener tensión constante.
Step:5 Haz una pausa y presiona la barra de nuevo hacia arriba. Enfatiza el control en este rango limitado.
Step:6 Repite el movimiento durante el número de repeticiones deseado.";chest, shoulders
